CityName,Area,GreenAreaPerPers,Polycentricity,PopulationInCore,#Gov,#GovInCore,Population,Latitude,Longitude,GDP
Phoenix,23889.14,9.23,1,100.0,24,24,1513367,33.5722,-112.088,190462.1
Hamamatsu,1455.54,20.96,1,81.23,3,1,811431,34.711849,137.723736,37292.09
Montpellier,2236.6,191.76,1,65.11,134,31,257351,43.610769,3.876716,21106.69
Nice,3096.9,226.02,1,81.07,135,42,343304,43.710173,7.261953,31753.93
Dublin,4767.19,19.52,1,74.46,7,4,527612,53.349805,-6.26031,95902.65
Naha,418.89,91.12,1,68.44,21,8,314162,26.212312,127.679157,28893.09
Niigata,1538.91,163.66,1,75.83,8,1,813053,37.912027,139.061883,35269.1
Saltillo,5562.31,7.27,1,100.0,1,1,709671,25.424175,-100.998635,16327.2
Austin,11084.37,141.31,1,67.1,44,26,885400,30.3072,-97.756,96379.31
Richmond,795.09,201.11,1,38.75,2,1,107571,37.953,-122.3594,36614.22
Glasgow,855.84,103.43,2,63.18,7,1,598470,55.864237,-4.251806,37520.96
Little Rock,7781.82,2646.35,1,54.99,34,8,197357,34.7254,-92.3586,38057.0
Boston,4829.9,86.06,1,100.0,120,120,645966,42.332,-71.0202,305833.34
Memphis,13234.05,2944.82,1,85.67,47,7,653450,35.1035,-89.9785,64249.34
Wakayama,422.57,39.48,1,69.75,7,1,372175,34.232128,135.191134,17474.34
Dayton,2280.64,1120.24,1,75.85,50,28,143355,39.7774,-84.1996,32493.79
Minneapolis,21030.86,2812.62,1,91.13,329,59,400070,44.9633,-93.2683,211465.64
Nuremberg,3122.57,677.73,1,52.19,105,2,498876,49.4538723,11.0772978,56099.86
Brno,2359.25,439.66,2,56.95,245,1,405337,49.19506,16.606837,17126.82
Dortmund,547.87,65.89,1,70.06,6,1,575944,51.5142273,7.4652789,31129.71
Winnipeg,21715.54,4472.74,1,81.35,42,1,671551,49.899754,-97.137494,31069.71
Colorado Springs,6963.22,14.83,1,96.46,11,8,439886,38.8673,-104.7607,26781.39
Eindhoven,1199.68,827.0,2,44.85,19,2,209170,51.441642,5.469722,31087.24
Nagasaki,381.54,15.63,1,97.62,4,3,448792,32.752644,129.870829,14733.08
Seattle,11172.99,99.13,1,100.0,57,57,652405,47.6205,-122.3509,231514.38
Madrid,11537.63,24.23,2,74.36,272,15,3213271,40.416775,-3.70379,281713.66
Osaka,7003.88,10.9,1,91.61,160,115,2645305,34.653345,135.511968,596941.25
Milwaukee,3865.74,1567.82,1,60.21,90,19,599164,43.0633,-87.9667,88721.71
Utrecht,622.67,222.73,1,44.98,14,1,288730,52.090737,5.12142,38118.2
Dallas,12067.76,196.9,1,91.48,117,82,1257676,32.7757,-96.7967,304270.25
Kofu,790.85,37.13,1,51.88,11,2,193127,35.6623,138.5682,120000
